playlist.id,playlist.name,TOP_1_keyword,TOP_1_keyword_freq,TOP_2_keyword,TOP_2_keyword_freq,TOP_3_keyword,TOP_3_keyword_freq,TOP_4_keyword,TOP_4_keyword_freq,TOP_5_keyword,TOP_5_keyword_freq,TOP_6_keyword,TOP_6_keyword_freq,TOP_7_keyword,TOP_7_keyword_freq,TOP_8_keyword,TOP_8_keyword_freq,TOP_9_keyword,TOP_9_keyword_freq,TOP_10_keyword,TOP_10_keyword_freq
3HjTMn6O6adW8vcSMnqmhw,"""Permanent Wave""",love,67,ca,65,get,57,enough,55.0,oh,46.0,feel,45.0,know,37.0,time,37.0,like,34.0,go,23.0
1kEczIkZH8IgaWT2BiApxZ,10er Playlist,oh,436,like,335,hol,300,work,269.0,na,234.0,yeah,230.0,know,204.0,let,193.0,bitch,193.0,say,163.0
0WicovBbxeB0nvQC6IfuaT,1987-1997 OLD SKOOL JAMZ,baby,302,love,217,na,139,let,136.0,ca,120.0,know,117.0,oh,97.0,right,87.0,gon,87.0,feel,86.0
0EmGNFBBgqLmvdQGPbgiMp,2000's hard rock,like,76,know,73,away,69,na,61.0,feel,54.0,see,53.0,never,52.0,wan,50.0,take,47.0,go,47.0
2DjIfVDXGYDgRxw7IJTKVb,2010 - 2011 - 2012 - 2013 - 2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 TOP HITS,oh,235,like,91,love,77,break,68.0,feels,54.0,yeah,33.0,na,32.0,watch,30.0,tempo,30.0,gon,29.0
53Ga3Xt9fumdJfhNNSBvzU,2011-2014 House,oh,107,na,103,gon,74,like,68.0,burn,67.0,love,66.0,let,54.0,take,53.0,yeah,51.0,got,51.0
6UJw1egIcZVfrBmcKs5uHH,2015 songs,like,214,know,179,oh,174,love,152.0,got,141.0,yeah,118.0,get,96.0,let,91.0,na,87.0,baby,84.0
16RNbqnNCCLlBJti7JU5nc,2019 in Indie Poptimism,like,327,know,283,na,229,love,220.0,got,192.0,oh,179.0,wan,155.0,feel,154.0,yeah,147.0,back,136.0
4JkkvMpVl4lSioqQjeAL0q,2020 Hits & 2019  Hits – Top Global Tracks 🔥🔥🔥,ooh,328,got,320,da,285,yeah,264.0,oh,251.0,never,233.0,na,205.0,uh,200.0,let,196.0,want,192.0
1QJ66s6YBZgxMUaVUyrhbo,3rd Coast Classics,bout,115,yeah,96,hell,81,get,72.0,know,70.0,got,64.0,body,61.0,like,56.0,rock,55.0,drop,54.0
